RIUSA;IMP_0018_153;02/12/2014;01/01/2010;BEC;Swift Fileact;10000000125;Integrado;Finalizado;KO;00000200.PPG;Pagos nacionales Londres;Natalia;00000200.PPG (error en el formato de la cuenta)
TOTAL;;14/01/2014;01/01/2010;CIB;Swift Fileact;TESTSWIFT02;Integrado;Finalizado;KO;30002338.CSP;Adeudos directos 19.14 (Sepa);Cristina;30002338.CSP (fuera de plazo)
TOTAL;;15/01/2014;01/01/2010;CIB;Swift Fileact;TESTSWIFT02;Integrado;Finalizado;OK;30002349.CSP;Adeudos directos 19.14 (Sepa);Cristina;30002349.CSP
TOTAL;;15/01/2014;01/01/2010;CIB;Swift Fileact;TESTSWIFT02;Integrado;Finalizado;KO;30002350.CSP;Adeudos directos 19.14 (Sepa);Cristina;30002350.CSP (reportado a SEPA E2E-->no respetaba la fecha mínima de presentación)
TOTAL;;17/01/2014;01/01/2010;CIB;Swift Fileact;TESTSWIFT02;Integrado;Cancelado;;;Adeudos directos 19.14 (Sepa);Cristina;
TOTAL;;21/01/2014;01/01/2010;CIB;Swift Fileact;TESTSWIFT02;Integrado;Finalizado;OK;30002355.CSP;Adeudos directos 19.14 (Sepa);Cristina;30002355.CSP
TOTAL;;13/01/2014;01/01/2010;CIB;Swift Fileact;TESTSWIFT02;Integrado;Finalizado;OK;30002324.FIT;Transferencias 34.14;Cristina;30002324.FIT
TOTAL;;13/01/2014;01/01/2010;CIB;Swift Fileact;TESTSWIFT02;Integrado;Finalizado;OK;30002326.FIT;Transferencias 34.14;Cristina;30002326.FIT
TOTAL;;05/12/2014;01/01/2010;CIB;Swift Fileact;TESTSWIFT02;Integrado;Finalizado;OK;30002559.FIT;Transferencias 34.14;Cristina;30002559.FIT
TOTAL;;18/02/2014;01/01/2010;CIB;Swift Fileact;10000000114;Producción;Finalizado;Ok;;AEB43;Cristina;Se han enviado los ficheros al cliente por primera vez el 18/02
TOTAL;;23/01/2014;01/01/2010;CIB;Swift Fileact;10000000119;Integrado;Finalizado;OK;;AEB43;Cristina;Confirmado por el cliente ok
VOLKSWAGEN;IMP_0080_180;30/01/2014;01/01/2010;CIB;Swift Fileact;10000000072;Integrado;Finalizado;OK;19019805.CSP;Adeudos directos 19.44 (Sepa B2B);Jose Manuel;19019805.CSP
VOLKSWAGEN;IMP_0080_180;30/01/2014;01/01/2010;CIB;Swift Fileact;10000000072;Integrado;Finalizado;OK;19019807.CSP;Adeudos directos 19.44 (Sepa B2B);Jose Manuel;19019807.CSP
